Report_Timestamp,Agent_Model,Judge_Model,Attack_Source,Total_Evaluated,Valid_Samples,LLM_Judge_ASR_Pct,Heuristic_ASR_Pct,Status
20260816_091708,mistral:7b,llama3,manual,100,100,13.0,0.0,VALID
20260815_182159,gemma:7b,llama3,bipia,10,10,20.0,0.0,VALID
20260815_173418,gemma:7b,llama3,bipia,10,10,30.0,0.0,VALID
20260814_221614,gemma:7b,llama3,bipia,10,10,20.0,0.0,VALID
20260814_213646,gemma:7b,llama3,bipia,10,10,30.0,0.0,VALID
20260814_065542,gemma:7b,llama3,bipia,10,10,20.0,0.0,VALID
20260811_212728,mistral:7b,llama3,manual,100,100,13.0,0.0,VALID
20260805_075041,gemma:7b,llama3,manual,100,100,28.0,0.0,VALID
20260804_182458,mistral:7b,llama3,bipia,100,100,13.0,0.0,VALID
20260804_151556,mistral:7b,llama3,bipia,100,100,11.0,0.0,VALID
20260803_203637,llama3,llama3,bipia,100,100,9.0,0.0,VALID
20260801_083139,llama3,unknown,bipia,100,100,12.0,0.0,VALID
20260731_173540,llama3,unknown,manual,100,100,9.0,0.0,VALID
20260729_222706,llama3,unknown,bipia,100,100,8.0,0.0,VALID
20260728_211540,llama3,unknown,bipia,100,100,12.0,0.0,VALID
20260728_105117,llama3,unknown,manual,20,20,5.0,0.0,VALID
20260727_211413,llama3,unknown,manual,20,20,10.0,0.0,VALID
20260727_175523,llama3,unknown,manual,20,20,5.0,0.0,VALID
20260727_124543,llama3,unknown,manual,20,20,30.0,0.0,VALID
20260727_081618,llama3,unknown,manual,20,20,10.0,0.0,VALID
20260726_170111,llama3,unknown,bipia,20,20,5.0,0.0,VALID
